,DTA_S15 Data,DTA_S16 Data,DTA_S17A Data,DTA_S17B Data,KW_S15 Data,KW_S16 Data,KW_S17A Data,KW_S17B Data,TILN_S15 Data,TILN_S16 Data,TILN_S17A Data,TILN_S17B Data,PLHT_S15 Data,PLHT_S16 Data,PLHT_S17A Data,PLHT_S17B Data
W22 x TIL14 BC1S4# Line_C007,NA,76,85,NA,NA,0.20016,0.1818,NA,NA,NA,1,NA,NA,NA,191.875,NA
W22 x TIL14 BC1S4# Line_C008,NA,71,82,NA,NA,0.18922,0.17002,NA,NA,1.5,2.75,NA,NA,NA,129,NA
W22 x TIL14 BC1S4# Line_C009,NA,76,87,NA,NA,0.14998,0.118,NA,NA,0.75,1.125,NA,NA,NA,152.375,NA
W22 x TIL14 BC1S4# Line_C010,NA,80,94,NA,NA,0.16982,0.16078,NA,NA,1.5,2.75,NA,NA,NA,146.75,NA
W22 x TIL14 BC1S4# Line_C012,NA,78,92,NA,NA,0.1782,0.11492,NA,NA,1.25,3.125,NA,NA,NA,162.875,NA
W22 x TIL14 BC1S4# Line_C013,NA,72,84,NA,NA,0.16656,0.15416,NA,NA,1.25,2.125,NA,NA,NA,161.875,NA
W22 x TIL14 BC1S4# Line_C015,NA,79,95,NA,NA,0.16792,0.13136,NA,NA,0.875,2.75,NA,NA,NA,167.25,NA
W22 x TIL14 BC1S4# Line_C017,NA,68,80,NA,NA,0.19116,0.18138,NA,NA,1,2.25,NA,NA,NA,130.75,NA
W22 x TIL14 BC1S4# Line_C020,NA,73,86,NA,NA,0.18426,0.17364,NA,NA,1.375,1.875,NA,NA,NA,145.125,NA
W22 x TIL14 BC1S4# Line_C022,NA,72,85,NA,NA,0.21264,0.1598,NA,NA,0.375,1.125,NA,NA,NA,168.5,NA
W22 x TIL14 BC1S4# Line_C023,NA,70,82,NA,NA,0.16106,0.16202,NA,NA,0.375,1.125,NA,NA,NA,146.5,NA
W22 x TIL14 BC1S4# Line_C024,NA,70,82,NA,NA,0.17428,0.1741,NA,NA,0,1,NA,NA,NA,137,NA
W22 x TIL14 BC1S4# Line_C025,NA,74,87,NA,NA,0.13382,0.1167,NA,NA,0.875,1.25,NA,NA,NA,159.375,NA
